age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
39.0,3.0,0.0,3.0,1.0,-233.0,0.0,1.0,2.0,19.0,10.0,249.0,1.0,-1.0,0.0,0.0,1.0
29.0,3.0,2.0,0.0,1.0,698.0,1.0,1.0,2.0,8.0,1.0,186.0,1.0,-1.0,0.0,0.0,1.0
33.0,10.0,0.0,1.0,1.0,399.0,0.0,1.0,2.0,7.0,4.0,143.0,1.0,-1.0,0.0,0.0,1.0
29.0,0.0,2.0,1.0,1.0,27.0,0.0,1.0,2.0,6.0,4.0,754.0,1.0,-1.0,0.0,0.0,0.0
31.0,0.0,0.0,1.0,1.0,879.0,0.0,1.0,2.0,13.0,4.0,394.0,1.0,-1.0,0.0,0.0,0.0
28.0,3.0,2.0,3.0,0.0,1414.0,0.0,1.0,2.0,8.0,6.0,294.0,1.0,521.0,1.0,2.0,0.0
58.0,9.0,0.0,2.0,1.0,2074.0,1.0,1.0,2.0,18.0,5.0,259.0,2.0,-1.0,0.0,0.0,0.0
32.0,7.0,2.0,2.0,1.0,12198.0,0.0,1.0,2.0,18.0,4.0,178.0,1.0,-1.0,0.0,0.0,0.0
36.0,0.0,0.0,1.0,1.0,746.0,0.0,1.0,2.0,17.0,10.0,581.0,3.0,-1.0,0.0,0.0,1.0
30.0,10.0,0.0,1.0,1.0,776.0,1.0,1.0,2.0,30.0,3.0,861.0,2.0,-1.0,0.0,0.0,0.0
59.0,3.0,0.0,3.0,1.0,7049.0,1.0,1.0,2.0,21.0,10.0,530.0,1.0,163.0,2.0,2.0,0.0
60.0,8.0,0.0,2.0,1.0,362.0,1.0,0.0,2.0,29.0,6.0,816.0,6.0,-1.0,0.0,0.0,0.0
43.0,7.0,0.0,1.0,1.0,14646.0,1.0,1.0,2.0,23.0,9.0,210.0,1.0,-1.0,0.0,0.0,0.0
40.0,11.0,0.0,1.0,1.0,4157.0,0.0,1.0,0.0,15.0,4.0,735.0,1.0,-1.0,0.0,0.0,1.0
43.0,3.0,0.0,3.0,1.0,3518.0,1.0,1.0,2.0,15.0,5.0,181.0,2.0,-1.0,0.0,0.0,0.0
45.0,7.0,0.0,1.0,1.0,7895.0,0.0,1.0,2.0,4.0,1.0,872.0,1.0,-1.0,0.0,0.0,0.0
38.0,3.0,0.0,3.0,1.0,1477.0,1.0,1.0,2.0,15.0,8.0,385.0,3.0,769.0,2.0,2.0,0.0
41.0,2.0,0.0,1.0,1.0,1077.0,0.0,0.0,1.0,9.0,11.0,207.0,3.0,387.0,2.0,2.0,0.0
49.0,11.0,0.0,1.0,1.0,202.0,0.0,1.0,2.0,17.0,10.0,651.0,2.0,104.0,1.0,2.0,0.0
44.0,10.0,2.0,1.0,1.0,244.0,0.0,1.0,2.0,12.0,7.0,1735.0,4.0,-1.0,0.0,0.0,0.0
66.0,4.0,0.0,2.0,1.0,1230.0,1.0,1.0,2.0,17.0,11.0,726.0,3.0,-1.0,0.0,0.0,0.0
38.0,10.0,1.0,1.0,1.0,902.0,0.0,1.0,2.0,3.0,1.0,650.0,1.0,-1.0,0.0,0.0,0.0
49.0,0.0,0.0,1.0,1.0,1047.0,1.0,1.0,2.0,8.0,7.0,133.0,4.0,-1.0,0.0,0.0,1.0
55.0,3.0,0.0,3.0,1.0,154.0,1.0,1.0,1.0,11.0,4.0,70.0,2.0,367.0,3.0,2.0,1.0
34.0,0.0,2.0,1.0,1.0,303.0,1.0,1.0,2.0,4.0,5.0,282.0,3.0,126.0,3.0,2.0,0.0
60.0,9.0,1.0,3.0,1.0,381.0,0.0,1.0,2.0,17.0,3.0,208.0,2.0,344.0,4.0,2.0,1.0
23.0,6.0,2.0,1.0,1.0,381.0,1.0,1.0,2.0,23.0,1.0,696.0,1.0,189.0,2.0,1.0,0.0
32.0,7.0,2.0,1.0,1.0,6337.0,0.0,1.0,2.0,19.0,10.0,126.0,2.0,-1.0,0.0,0.0,1.0
48.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,4.0,85.0,1.0,168.0,2.0,2.0,1.0
33.0,3.0,2.0,3.0,1.0,131.0,0.0,1.0,2.0,12.0,9.0,209.0,3.0,427.0,2.0,2.0,0.0
35.0,3.0,2.0,3.0,1.0,916.0,0.0,1.0,2.0,14.0,4.0,460.0,2.0,-1.0,0.0,0.0,0.0
58.0,9.0,0.0,2.0,1.0,282.0,0.0,1.0,2.0,28.0,6.0,40.0,4.0,-1.0,0.0,0.0,1.0
34.0,3.0,2.0,3.0,1.0,6766.0,1.0,1.0,2.0,28.0,7.0,210.0,5.0,-1.0,0.0,0.0,1.0
33.0,10.0,2.0,1.0,1.0,163.0,0.0,1.0,2.0,20.0,7.0,627.0,2.0,-1.0,0.0,0.0,0.0
32.0,7.0,2.0,1.0,1.0,5252.0,0.0,1.0,2.0,20.0,10.0,232.0,2.0,183.0,2.0,2.0,1.0
37.0,7.0,0.0,1.0,1.0,1330.0,1.0,1.0,2.0,30.0,3.0,390.0,1.0,-1.0,0.0,0.0,0.0
67.0,9.0,1.0,1.0,1.0,704.0,1.0,1.0,2.0,6.0,4.0,613.0,1.0,87.0,3.0,3.0,0.0
32.0,10.0,0.0,3.0,1.0,2688.0,1.0,1.0,2.0,14.0,9.0,216.0,1.0,57.0,1.0,2.0,0.0
48.0,7.0,2.0,1.0,1.0,8982.0,0.0,1.0,0.0,14.0,4.0,628.0,1.0,-1.0,0.0,0.0,1.0
34.0,7.0,0.0,1.0,1.0,1988.0,0.0,1.0,1.0,29.0,0.0,53.0,1.0,266.0,2.0,2.0,1.0
56.0,0.0,2.0,1.0,1.0,1854.0,0.0,1.0,1.0,7.0,4.0,45.0,1.0,342.0,2.0,2.0,1.0
47.0,7.0,0.0,1.0,1.0,1568.0,0.0,1.0,2.0,19.0,1.0,388.0,1.0,262.0,7.0,3.0,0.0
27.0,0.0,0.0,1.0,1.0,897.0,1.0,1.0,2.0,5.0,5.0,397.0,1.0,-1.0,0.0,0.0,0.0
38.0,0.0,0.0,1.0,1.0,1767.0,0.0,1.0,2.0,9.0,6.0,483.0,4.0,239.0,7.0,3.0,0.0
67.0,4.0,1.0,1.0,1.0,5275.0,1.0,1.0,2.0,13.0,7.0,222.0,4.0,-1.0,0.0,0.0,0.0
38.0,11.0,0.0,1.0,1.0,105.0,1.0,1.0,2.0,30.0,6.0,244.0,2.0,-1.0,0.0,0.0,1.0
34.0,11.0,1.0,1.0,1.0,89.0,0.0,1.0,2.0,15.0,4.0,1871.0,4.0,-1.0,0.0,0.0,0.0
37.0,11.0,0.0,1.0,1.0,393.0,0.0,0.0,2.0,13.0,4.0,95.0,1.0,357.0,1.0,2.0,1.0
52.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,85.0,3.0,-1.0,0.0,0.0,1.0
26.0,7.0,2.0,1.0,1.0,2007.0,1.0,1.0,2.0,13.0,6.0,272.0,3.0,182.0,2.0,3.0,0.0
28.0,10.0,2.0,1.0,1.0,1363.0,1.0,1.0,2.0,27.0,1.0,79.0,1.0,-1.0,0.0,0.0,0.0
34.0,10.0,0.0,1.0,1.0,294.0,0.0,1.0,2.0,9.0,11.0,265.0,1.0,184.0,3.0,3.0,0.0
57.0,9.0,1.0,2.0,1.0,63.0,1.0,0.0,2.0,25.0,6.0,1448.0,17.0,-1.0,0.0,0.0,0.0
25.0,3.0,0.0,2.0,1.0,168.0,0.0,1.0,0.0,3.0,5.0,801.0,1.0,-1.0,0.0,0.0,0.0
44.0,7.0,0.0,3.0,1.0,1371.0,1.0,1.0,2.0,13.0,4.0,788.0,3.0,363.0,4.0,1.0,1.0
33.0,10.0,2.0,1.0,1.0,177.0,0.0,1.0,0.0,23.0,4.0,293.0,1.0,-1.0,0.0,0.0,1.0
51.0,4.0,1.0,2.0,1.0,127.0,1.0,1.0,0.0,13.0,8.0,69.0,1.0,-1.0,0.0,0.0,1.0
47.0,7.0,0.0,0.0,0.0,162.0,1.0,1.0,2.0,25.0,7.0,366.0,3.0,-1.0,0.0,0.0,0.0
34.0,11.0,0.0,1.0,1.0,22.0,0.0,1.0,0.0,6.0,4.0,344.0,1.0,-1.0,0.0,0.0,1.0
47.0,0.0,2.0,1.0,1.0,3531.0,0.0,1.0,2.0,7.0,6.0,49.0,6.0,-1.0,0.0,0.0,1.0
37.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,5.0,236.0,1.0,-1.0,0.0,0.0,1.0
32.0,3.0,2.0,3.0,1.0,522.0,1.0,1.0,2.0,22.0,7.0,576.0,2.0,-1.0,0.0,0.0,0.0
32.0,10.0,2.0,3.0,1.0,720.0,1.0,1.0,2.0,12.0,7.0,234.0,4.0,-1.0,0.0,0.0,1.0
34.0,0.0,2.0,3.0,1.0,458.0,0.0,1.0,0.0,20.0,4.0,211.0,1.0,-1.0,0.0,0.0,1.0
36.0,3.0,0.0,3.0,1.0,495.0,1.0,1.0,2.0,11.0,8.0,91.0,1.0,37.0,5.0,3.0,0.0
30.0,3.0,0.0,3.0,1.0,134.0,0.0,1.0,0.0,19.0,4.0,70.0,1.0,-1.0,0.0,0.0,1.0
40.0,3.0,0.0,3.0,1.0,3352.0,0.0,1.0,2.0,19.0,10.0,639.0,2.0,27.0,1.0,3.0,0.0
34.0,3.0,0.0,3.0,1.0,1006.0,0.0,1.0,2.0,19.0,10.0,783.0,3.0,195.0,2.0,1.0,0.0
34.0,7.0,2.0,1.0,1.0,341.0,0.0,1.0,0.0,8.0,4.0,195.0,1.0,-1.0,0.0,0.0,1.0
59.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,20.0,3.0,392.0,1.0,-1.0,0.0,0.0,0.0
47.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,18.0,5.0,308.0,1.0,-1.0,0.0,0.0,1.0
47.0,0.0,0.0,1.0,1.0,829.0,0.0,0.0,2.0,18.0,10.0,48.0,1.0,188.0,1.0,2.0,1.0
45.0,0.0,0.0,1.0,1.0,1097.0,0.0,0.0,2.0,2.0,1.0,174.0,1.0,208.0,1.0,2.0,1.0
25.0,7.0,2.0,1.0,1.0,303.0,1.0,1.0,2.0,18.0,2.0,265.0,1.0,-1.0,0.0,0.0,0.0
34.0,10.0,2.0,1.0,1.0,2729.0,0.0,1.0,2.0,18.0,10.0,835.0,1.0,-1.0,0.0,0.0,0.0
42.0,11.0,0.0,1.0,1.0,108.0,0.0,0.0,2.0,13.0,4.0,225.0,2.0,365.0,7.0,2.0,1.0
26.0,0.0,2.0,1.0,1.0,338.0,1.0,1.0,2.0,29.0,9.0,209.0,1.0,188.0,2.0,0.0,0.0
38.0,10.0,0.0,1.0,1.0,728.0,0.0,1.0,2.0,18.0,10.0,286.0,1.0,181.0,2.0,1.0,1.0
49.0,7.0,0.0,2.0,1.0,239.0,1.0,1.0,2.0,22.0,7.0,90.0,3.0,-1.0,0.0,0.0,1.0
44.0,10.0,1.0,1.0,1.0,14.0,1.0,1.0,2.0,13.0,7.0,234.0,1.0,-1.0,0.0,0.0,0.0
39.0,7.0,0.0,2.0,1.0,-176.0,1.0,1.0,2.0,9.0,6.0,176.0,1.0,-1.0,0.0,0.0,1.0
33.0,0.0,2.0,1.0,1.0,572.0,0.0,1.0,2.0,14.0,3.0,344.0,1.0,74.0,2.0,2.0,0.0
29.0,3.0,0.0,3.0,0.0,53.0,0.0,1.0,2.0,31.0,6.0,27.0,17.0,-1.0,0.0,0.0,1.0
31.0,4.0,0.0,1.0,1.0,243.0,0.0,1.0,2.0,23.0,8.0,305.0,2.0,842.0,1.0,2.0,0.0
38.0,4.0,1.0,1.0,1.0,70.0,1.0,1.0,2.0,27.0,9.0,255.0,3.0,148.0,1.0,3.0,0.0
28.0,7.0,2.0,1.0,1.0,-46.0,0.0,1.0,2.0,1.0,5.0,154.0,2.0,91.0,12.0,3.0,0.0
58.0,9.0,0.0,1.0,1.0,19.0,1.0,0.0,2.0,15.0,6.0,106.0,3.0,-1.0,0.0,0.0,1.0
60.0,3.0,1.0,3.0,1.0,366.0,1.0,1.0,2.0,3.0,5.0,593.0,1.0,-1.0,0.0,0.0,0.0
40.0,3.0,0.0,1.0,1.0,8486.0,1.0,1.0,0.0,6.0,4.0,260.0,3.0,-1.0,0.0,0.0,1.0
26.0,2.0,2.0,1.0,1.0,111.0,1.0,1.0,2.0,9.0,6.0,537.0,1.0,-1.0,0.0,0.0,0.0
40.0,7.0,0.0,2.0,1.0,919.0,0.0,1.0,0.0,3.0,5.0,327.0,2.0,-1.0,0.0,0.0,1.0
51.0,7.0,0.0,1.0,1.0,955.0,1.0,0.0,2.0,17.0,11.0,221.0,3.0,-1.0,0.0,0.0,0.0
47.0,11.0,0.0,1.0,1.0,2070.0,0.0,0.0,0.0,26.0,4.0,136.0,1.0,-1.0,0.0,0.0,1.0
33.0,7.0,0.0,2.0,1.0,-306.0,0.0,0.0,0.0,13.0,4.0,851.0,4.0,-1.0,0.0,0.0,1.0
49.0,3.0,0.0,3.0,1.0,276.0,1.0,1.0,2.0,27.0,7.0,62.0,5.0,-1.0,0.0,0.0,1.0
32.0,3.0,2.0,3.0,1.0,718.0,0.0,1.0,2.0,29.0,11.0,155.0,1.0,197.0,1.0,3.0,0.0
35.0,5.0,0.0,3.0,1.0,542.0,0.0,0.0,0.0,27.0,4.0,591.0,5.0,-1.0,0.0,0.0,1.0
33.0,3.0,0.0,3.0,1.0,403.0,0.0,1.0,0.0,26.0,4.0,114.0,2.0,-1.0,0.0,0.0,1.0
34.0,5.0,0.0,3.0,1.0,105.0,0.0,1.0,0.0,28.0,4.0,249.0,2.0,-1.0,0.0,0.0,1.0
57.0,10.0,0.0,3.0,1.0,-1.0,1.0,1.0,0.0,14.0,4.0,850.0,2.0,-1.0,0.0,0.0,0.0
29.0,7.0,2.0,1.0,1.0,9.0,0.0,1.0,2.0,11.0,4.0,262.0,3.0,-1.0,0.0,0.0,1.0
22.0,0.0,2.0,1.0,1.0,114.0,1.0,1.0,2.0,30.0,2.0,517.0,1.0,-1.0,0.0,0.0,0.0
37.0,0.0,2.0,1.0,1.0,9.0,0.0,1.0,2.0,14.0,4.0,165.0,1.0,-1.0,0.0,0.0,1.0
58.0,9.0,0.0,2.0,1.0,4158.0,1.0,1.0,2.0,13.0,7.0,455.0,2.0,-1.0,0.0,0.0,0.0
44.0,3.0,2.0,3.0,1.0,483.0,1.0,1.0,2.0,6.0,2.0,207.0,2.0,199.0,6.0,3.0,0.0
31.0,3.0,2.0,3.0,1.0,713.0,1.0,1.0,2.0,28.0,7.0,162.0,1.0,-1.0,0.0,0.0,1.0
38.0,10.0,2.0,1.0,1.0,1711.0,1.0,1.0,1.0,30.0,8.0,234.0,1.0,-1.0,0.0,0.0,0.0
35.0,8.0,0.0,3.0,0.0,28.0,1.0,0.0,2.0,8.0,6.0,259.0,1.0,-1.0,0.0,0.0,1.0
32.0,8.0,2.0,3.0,1.0,658.0,0.0,1.0,2.0,27.0,2.0,283.0,1.0,-1.0,0.0,0.0,0.0
36.0,11.0,2.0,1.0,1.0,9713.0,0.0,1.0,0.0,27.0,4.0,72.0,3.0,-1.0,0.0,0.0,1.0
29.0,7.0,1.0,1.0,1.0,-19.0,0.0,1.0,2.0,20.0,3.0,712.0,4.0,-1.0,0.0,0.0,0.0
32.0,11.0,2.0,1.0,1.0,5806.0,0.0,1.0,2.0,20.0,10.0,1503.0,2.0,-1.0,0.0,0.0,0.0
31.0,3.0,0.0,3.0,1.0,537.0,0.0,1.0,2.0,18.0,7.0,216.0,1.0,-1.0,0.0,0.0,0.0
32.0,7.0,2.0,1.0,1.0,1342.0,0.0,1.0,0.0,23.0,4.0,109.0,2.0,-1.0,0.0,0.0,1.0
35.0,3.0,0.0,3.0,1.0,8.0,1.0,1.0,2.0,23.0,3.0,93.0,3.0,-1.0,0.0,0.0,0.0
24.0,7.0,2.0,1.0,1.0,1857.0,0.0,1.0,2.0,8.0,9.0,147.0,1.0,92.0,5.0,1.0,0.0
27.0,7.0,0.0,1.0,1.0,419.0,0.0,1.0,0.0,4.0,5.0,1181.0,2.0,-1.0,0.0,0.0,0.0
27.0,7.0,2.0,1.0,1.0,535.0,1.0,1.0,2.0,16.0,10.0,183.0,1.0,94.0,1.0,3.0,0.0
31.0,10.0,0.0,1.0,1.0,465.0,0.0,1.0,2.0,12.0,4.0,259.0,3.0,-1.0,0.0,0.0,1.0
30.0,11.0,0.0,1.0,1.0,48.0,0.0,1.0,2.0,31.0,6.0,662.0,13.0,-1.0,0.0,0.0,0.0
62.0,3.0,0.0,3.0,1.0,7458.0,1.0,1.0,2.0,30.0,9.0,212.0,2.0,-1.0,0.0,0.0,0.0
35.0,10.0,2.0,1.0,1.0,3490.0,0.0,1.0,2.0,29.0,7.0,643.0,2.0,-1.0,0.0,0.0,0.0
62.0,3.0,0.0,3.0,1.0,1859.0,1.0,1.0,1.0,6.0,7.0,245.0,3.0,-1.0,0.0,0.0,0.0
34.0,10.0,0.0,1.0,1.0,294.0,0.0,1.0,2.0,8.0,5.0,301.0,3.0,-1.0,0.0,0.0,0.0
59.0,7.0,0.0,2.0,1.0,229.0,0.0,0.0,0.0,7.0,4.0,19.0,1.0,-1.0,0.0,0.0,1.0
28.0,2.0,2.0,2.0,1.0,1374.0,1.0,1.0,2.0,23.0,3.0,203.0,4.0,-1.0,0.0,0.0,0.0
47.0,10.0,2.0,1.0,1.0,1101.0,0.0,1.0,2.0,23.0,6.0,957.0,3.0,-1.0,0.0,0.0,0.0
30.0,0.0,2.0,1.0,1.0,613.0,0.0,1.0,2.0,17.0,3.0,180.0,2.0,302.0,1.0,2.0,1.0
60.0,5.0,1.0,1.0,1.0,80.0,0.0,1.0,0.0,15.0,4.0,397.0,1.0,-1.0,0.0,0.0,1.0
30.0,7.0,0.0,1.0,1.0,673.0,0.0,1.0,0.0,20.0,4.0,610.0,2.0,-1.0,0.0,0.0,1.0
34.0,7.0,2.0,1.0,1.0,186.0,1.0,1.0,2.0,2.0,1.0,342.0,1.0,-1.0,0.0,0.0,1.0
35.0,10.0,0.0,1.0,1.0,905.0,1.0,0.0,2.0,21.0,7.0,114.0,2.0,-1.0,0.0,0.0,1.0
66.0,4.0,0.0,1.0,1.0,1929.0,1.0,1.0,2.0,2.0,1.0,169.0,1.0,-1.0,0.0,0.0,1.0
32.0,7.0,0.0,2.0,1.0,415.0,0.0,1.0,0.0,2.0,5.0,777.0,4.0,-1.0,0.0,0.0,0.0
32.0,10.0,2.0,3.0,1.0,392.0,0.0,1.0,2.0,21.0,10.0,148.0,2.0,-1.0,0.0,0.0,1.0
40.0,3.0,0.0,3.0,1.0,552.0,1.0,1.0,2.0,28.0,6.0,761.0,8.0,-1.0,0.0,0.0,1.0
31.0,7.0,1.0,2.0,1.0,158.0,0.0,1.0,0.0,28.0,4.0,157.0,1.0,-1.0,0.0,0.0,1.0
38.0,8.0,0.0,1.0,1.0,215.0,0.0,1.0,2.0,20.0,10.0,70.0,1.0,167.0,1.0,2.0,1.0
41.0,0.0,0.0,2.0,1.0,-306.0,0.0,1.0,0.0,15.0,4.0,500.0,1.0,-1.0,0.0,0.0,0.0
23.0,0.0,2.0,3.0,1.0,314.0,1.0,0.0,2.0,8.0,3.0,142.0,4.0,-1.0,0.0,0.0,0.0
56.0,3.0,0.0,3.0,1.0,616.0,1.0,1.0,2.0,13.0,7.0,293.0,2.0,105.0,2.0,3.0,0.0
60.0,3.0,0.0,3.0,1.0,3401.0,1.0,1.0,2.0,30.0,9.0,294.0,1.0,270.0,1.0,2.0,0.0
54.0,7.0,0.0,2.0,1.0,950.0,0.0,1.0,0.0,15.0,4.0,285.0,2.0,-1.0,0.0,0.0,1.0
44.0,7.0,1.0,1.0,1.0,579.0,0.0,1.0,0.0,6.0,4.0,198.0,2.0,-1.0,0.0,0.0,1.0
49.0,3.0,0.0,1.0,1.0,543.0,0.0,1.0,0.0,20.0,4.0,213.0,3.0,-1.0,0.0,0.0,1.0
33.0,10.0,2.0,1.0,1.0,3059.0,1.0,0.0,2.0,6.0,7.0,482.0,2.0,-1.0,0.0,0.0,0.0
50.0,0.0,1.0,1.0,1.0,3240.0,1.0,1.0,2.0,21.0,10.0,144.0,2.0,-1.0,0.0,0.0,1.0
27.0,3.0,2.0,1.0,1.0,967.0,0.0,1.0,0.0,21.0,4.0,162.0,1.0,-1.0,0.0,0.0,1.0
34.0,7.0,1.0,1.0,1.0,-131.0,0.0,1.0,2.0,7.0,4.0,132.0,1.0,356.0,1.0,2.0,1.0
26.0,10.0,2.0,1.0,1.0,218.0,0.0,1.0,0.0,27.0,4.0,436.0,1.0,-1.0,0.0,0.0,1.0
46.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,305.0,13.0,-1.0,0.0,0.0,0.0
30.0,10.0,2.0,1.0,1.0,411.0,0.0,1.0,2.0,16.0,3.0,948.0,1.0,-1.0,0.0,0.0,1.0
64.0,9.0,0.0,3.0,1.0,846.0,1.0,1.0,2.0,11.0,1.0,671.0,1.0,181.0,3.0,2.0,0.0
39.0,3.0,0.0,3.0,1.0,351.0,0.0,1.0,0.0,20.0,4.0,999.0,3.0,-1.0,0.0,0.0,1.0
33.0,0.0,2.0,3.0,1.0,7608.0,1.0,1.0,2.0,30.0,2.0,238.0,4.0,-1.0,0.0,0.0,0.0
29.0,3.0,0.0,3.0,1.0,199.0,0.0,0.0,0.0,7.0,4.0,1689.0,4.0,-1.0,0.0,0.0,0.0
56.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,996.0,1.0,-1.0,0.0,0.0,0.0
51.0,7.0,0.0,2.0,1.0,21614.0,1.0,1.0,2.0,29.0,7.0,47.0,20.0,-1.0,0.0,0.0,1.0
36.0,7.0,2.0,1.0,1.0,219.0,0.0,0.0,2.0,11.0,4.0,270.0,2.0,347.0,1.0,2.0,1.0
33.0,10.0,2.0,3.0,1.0,258.0,1.0,1.0,2.0,12.0,2.0,80.0,4.0,-1.0,0.0,0.0,0.0
33.0,3.0,0.0,1.0,1.0,333.0,1.0,1.0,2.0,28.0,7.0,80.0,6.0,-1.0,0.0,0.0,1.0
30.0,5.0,0.0,2.0,1.0,2686.0,0.0,1.0,2.0,15.0,6.0,808.0,3.0,-1.0,0.0,0.0,0.0
56.0,3.0,1.0,3.0,1.0,-141.0,1.0,1.0,2.0,28.0,6.0,101.0,4.0,-1.0,0.0,0.0,1.0
31.0,7.0,2.0,1.0,1.0,-159.0,1.0,0.0,1.0,21.0,10.0,49.0,1.0,-1.0,0.0,0.0,1.0
23.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,30.0,3.0,297.0,1.0,83.0,6.0,3.0,0.0
53.0,11.0,1.0,1.0,1.0,36.0,0.0,0.0,0.0,2.0,6.0,25.0,1.0,417.0,1.0,3.0,0.0
31.0,3.0,1.0,3.0,1.0,883.0,0.0,1.0,2.0,19.0,10.0,168.0,1.0,-1.0,0.0,0.0,1.0
31.0,7.0,0.0,1.0,1.0,505.0,0.0,1.0,2.0,17.0,3.0,218.0,4.0,329.0,2.0,1.0,1.0
33.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,13.0,4.0,1346.0,1.0,-1.0,0.0,0.0,0.0
47.0,10.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,21.0,10.0,591.0,1.0,10.0,1.0,2.0,0.0
33.0,11.0,0.0,1.0,1.0,1076.0,1.0,1.0,2.0,11.0,10.0,131.0,1.0,96.0,5.0,2.0,0.0
57.0,2.0,0.0,1.0,1.0,1350.0,1.0,1.0,2.0,25.0,5.0,131.0,1.0,388.0,1.0,2.0,1.0
32.0,7.0,0.0,1.0,1.0,2089.0,0.0,1.0,2.0,14.0,10.0,132.0,1.0,-1.0,0.0,0.0,0.0
